seedId,accountId,accountName,priority,name,url,tagline,source,circle,candidateType,sourceUrl,published,researchProvider,researchQuery,researchUrl,acceptanceChecklist,notes
2026-06-13-ai_agent_ops-001,ai_agent_ops,AI Agent Ops,P1,,,,seed_batch_pack,ai_startups,topic,https://x.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow&src=typed_query&f=live,2026-06-13,X live search,AI Agent Ops AI agents and automation tools founder workflow,https://x.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow&src=typed_query&f=live,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: AI Agent Ops | Fill only if fresh, specific, and useful for this account."
2026-06-13-ai_agent_ops-002,ai_agent_ops,AI Agent Ops,P1,,,,seed_batch_pack,ai_startups,product,https://www.google.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow%20after%3A2026-01-01,2026-06-13,Google recent search,AI Agent Ops AI agents and automation tools founder workflow,https://www.google.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow%20after%3A2026-01-01,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: AI Agent Ops | Fill only if fresh, specific, and useful for this account."
2026-06-13-ai_agent_ops-003,ai_agent_ops,AI Agent Ops,P1,,,,seed_batch_pack,ai_startups,product,https://x.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow&src=typed_query&f=live,2026-06-13,X live search,AI Agent Ops AI agents and automation tools founder workflow,https://x.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow&src=typed_query&f=live,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: AI Agent Ops | Fill only if fresh, specific, and useful for this account."
2026-06-13-ai_agent_ops-004,ai_agent_ops,AI Agent Ops,P2,,,,seed_batch_pack,ai_startups,topic,https://www.google.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow%20after%3A2026-01-01,2026-06-13,Google recent search,AI Agent Ops AI agents and automation tools founder workflow,https://www.google.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow%20after%3A2026-01-01,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: AI Agent Ops | Fill only if fresh, specific, and useful for this account."
2026-06-13-ai_agent_ops-005,ai_agent_ops,AI Agent Ops,P2,,,,seed_batch_pack,ai_startups,product,https://x.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow&src=typed_query&f=live,2026-06-13,X live search,AI Agent Ops AI agents and automation tools founder workflow,https://x.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow&src=typed_query&f=live,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: AI Agent Ops | Fill only if fresh, specific, and useful for this account."
2026-06-13-ai_agent_ops-006,ai_agent_ops,AI Agent Ops,P2,,,,seed_batch_pack,ai_startups,product,https://www.google.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow%20after%3A2026-01-01,2026-06-13,Google recent search,AI Agent Ops AI agents and automation tools founder workflow,https://www.google.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow%20after%3A2026-01-01,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: AI Agent Ops | Fill only if fresh, specific, and useful for this account."
2026-06-13-ai_agent_ops-007,ai_agent_ops,AI Agent Ops,P2,,,,seed_batch_pack,ai_startups,topic,https://x.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow&src=typed_query&f=live,2026-06-13,X live search,AI Agent Ops AI agents and automation tools founder workflow,https://x.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow&src=typed_query&f=live,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: AI Agent Ops | Fill only if fresh, specific, and useful for this account."
2026-06-13-ai_agent_ops-008,ai_agent_ops,AI Agent Ops,P3,,,,seed_batch_pack,ai_startups,product,https://www.google.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow%20after%3A2026-01-01,2026-06-13,Google recent search,AI Agent Ops AI agents and automation tools founder workflow,https://www.google.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow%20after%3A2026-01-01,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: AI Agent Ops | Fill only if fresh, specific, and useful for this account."
2026-06-13-ai_agent_ops-009,ai_agent_ops,AI Agent Ops,P3,,,,seed_batch_pack,ai_startups,product,https://x.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow&src=typed_query&f=live,2026-06-13,X live search,AI Agent Ops AI agents and automation tools founder workflow,https://x.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow&src=typed_query&f=live,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: AI Agent Ops | Fill only if fresh, specific, and useful for this account."
2026-06-13-ai_agent_ops-010,ai_agent_ops,AI Agent Ops,P3,,,,seed_batch_pack,ai_startups,topic,https://www.google.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow%20after%3A2026-01-01,2026-06-13,Google recent search,AI Agent Ops AI agents and automation tools founder workflow,https://www.google.com/search?q=AI%20Agent%20Ops%20AI%20agents%20and%20automation%20tools%20founder%20workflow%20after%3A2026-01-01,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: AI Agent Ops | Fill only if fresh, specific, and useful for this account."
2026-06-13-ecommerce_ops-001,ecommerce_ops,Ecommerce Ops,P1,,,,seed_batch_pack,ai_startups,topic,https://x.com/search?q=Ecommerce%20Ops%20ecommerce%20and%20Shopify%20tools%20founder%20workflow&src=typed_query&f=live,2026-06-13,X live search,Ecommerce Ops ecommerce and Shopify tools founder workflow,https://x.com/search?q=Ecommerce%20Ops%20ecommerce%20and%20Shopify%20tools%20founder%20workflow&src=typed_query&f=live,real URL | AI/startup/tool angle | clear buyer pain | not broad hype,"Account: Ecommerce Ops | Fill only if fresh, specific, and useful for this account."
